id,req_type,reciever_DT_ID,API_ID,value,created
1,POST,2,3,4.0,2023-08-16 23:35:06
2,POST,2,3,5.0,2023-08-16 23:35:08
3,POST,2,3,4.0,2023-08-16 23:35:12
4,POST,2,3,4.0,2023-08-16 23:35:16
5,POST,2,3,4.0,2023-08-16 23:35:25
6,POST,2,3,3.0,2023-08-16 23:35:29
7,POST,2,3,3.0,2023-08-16 23:35:36
8,POST,2,3,4.0,2023-08-16 23:35:40
9,POST,2,3,3.0,2023-08-16 23:35:47
10,POST,2,3,5.0,2023-08-16 23:35:50
11,POST,2,3,3.0,2023-08-16 23:35:54
12,POST,2,3,3.0,2023-08-16 23:35:58
13,POST,2,3,8.0,2023-08-16 23:36:06
14,POST,2,3,6.0,2023-08-16 23:36:09
15,POST,2,3,3.0,2023-08-16 23:36:17
16,POST,2,3,7.0,2023-08-16 23:36:20
17,POST,2,3,3.0,2023-08-16 23:36:24
18,POST,2,3,3.0,2023-08-16 23:36:27
19,POST,2,3,4.0,2023-08-16 23:36:37
20,POST,2,3,4.0,2023-08-16 23:36:40
21,POST,2,3,8.0,2023-08-16 23:36:47
22,POST,2,3,3.0,2023-08-16 23:36:51
23,POST,2,3,4.0,2023-08-16 23:37:01
24,POST,2,3,3.0,2023-08-16 23:37:04
25,POST,2,3,3.0,2023-08-16 23:37:11
26,POST,2,3,3.0,2023-08-16 23:37:15
27,POST,2,3,4.0,2023-08-16 23:37:23
28,POST,2,3,6.0,2023-08-16 23:37:25
29,POST,2,3,3.0,2023-08-16 23:37:29
30,POST,2,3,3.0,2023-08-16 23:37:31
31,POST,2,3,6.0,2023-08-16 23:37:35
32,POST,2,3,3.0,2023-08-16 23:37:39
